stem,dom_nodes,nesting_depth,layout_element_count,img_count,structural_ratio,img_height,score,dom_nodes_norm,nesting_depth_norm,layout_element_count_norm,img_count_norm,structural_ratio_norm,img_height_norm
1,330,16,194,21,0.7786129627003262,4724,0.19262259407552126,0.020146968769136558,0.05725190839694656,0.01972747610331503,0.017826825127334467,0.767331323500274,0.27345106255612095
2,146,36,37,1,0.7619334135579623,995,0.15785079820551698,0.008879363135333742,0.13358778625954199,0.0037624567825910106,0.0008488964346349745,0.7498018029334813,0.05022448368751871
3,366,9,172,6,0.8889952785023277,3314,0.19130889434909779,0.022351500306184935,0.030534351145038167,0.017490339637990644,0.0050933786078098476,0.8833386003484761,0.1890451960490871
4,41,7,12,0,0.9772283116662418,995,0.1754771457224696,0.002449479485609308,0.022900763358778626,0.0012202562538133007,0.0,0.9760678915490976,0.05022448368751871
5,156,8,84,5,0.630375868976081,4600,0.15442732208389195,0.009491733006736069,0.026717557251908396,0.008541793776693106,0.004244482173174873,0.6115402310060036,0.2660281352888357
7,395,15,228,19,0.9174863012128298,5675,0.22675633472919823,0.024127372933251685,0.05343511450381679,0.023184868822452714,0.016129032258064516,0.9132814941467388,0.330380125710865
8,140,9,68,15,0.7287488870988257,1656,0.1439023714893259,0.008511941212492345,0.030534351145038167,0.006914785438275371,0.012733446519524618,0.714926229613142,0.08979347500748279
9,289,16,152,20,0.8043287510968119,5272,0.20132264013308962,0.017636252296387017,0.05725190839694656,0.015456579214968477,0.01697792869269949,0.7943575601053481,0.306255612092188
10,344,13,153,14,0.9608304042179262,4462,0.21847502184036757,0.021004286589099818,0.04580152671755725,0.015558267236119585,0.011884550084889643,0.9588343648263918,0.25776713558814723
11,16,5,9,1,0.8276299112801013,995,0.14783673739988148,0.0009185548071034905,0.015267175572519083,0.0009151921903599756,0.0008488964346349745,0.8188461217071527,0.05022448368751871
12,106,17,64,7,0.9316872427983539,1530,0.18173430291543588,0.006429883649724434,0.061068702290076333,0.006508033353670938,0.005942275042444821,0.9282061000498445,0.08225082310685423
13,266,26,131,4,0.9157269432138542,2727,0.1989504771329198,0.016227801592161667,0.09541984732824428,0.0133211307707952,0.003395585738539898,0.9114324812049522,0.1539060161628255
14,224,10,59,0,0.8965174129353234,3406,0.18996719500924164,0.013655848132271893,0.03435114503816794,0.005999593247915396,0.0,0.8912440544542152,0.19455252918287938
15,1,1,0,0,1.0,995,0.1750374139479198,0.0,0.0,0.0,0.0,1.0,0.05022448368751871
16,93,8,38,4,0.6580170991450427,2041,0.1321735975515684,0.005633802816901409,0.026717557251908396,0.003864144803742119,0.003395585738539898,0.6405900277722486,0.11284046692607004
17,213,13,90,13,0.6873011481532716,2734,0.15077712592303666,0.012982241273729333,0.04580152671755725,0.009151921903599756,0.011035653650254669,0.6713663596135518,0.1543250523795271
18,33,6,19,2,0.7261724659606656,995,0.13118606981812148,0.0019595835884874463,0.019083969465648856,0.0019320724018710596,0.001697792869269949,0.7122185168959327,0.05022448368751871
20,22,4,8,0,0.7423481041571494,995,0.13216546567283152,0.0012859767299448867,0.011450381679389313,0.0008135041692088672,0.0,0.7292184477709273,0.05022448368751871
21,148,21,54,5,0.0484880017790682,995,0.024216305662510512,0.009001837109614207,0.07633587786259542,0.005491153142159854,0.004244482173174873,0.0,0.05022448368751871
22,46,6,3,4,0.9515396883817937,1771,0.1785480215789799,0.0027556644213104714,0.019083969465648856,0.0003050640634533252,0.003395585738539898,0.9490702043602037,0.09667764142472314
23,65,14,32,8,0.9601535161982165,995,0.17865502382816592,0.0039191671769748925,0.04961832061068702,0.003254016676835469,0.006791171477079796,0.9581229833398995,0.05022448368751871
24,315,18,159,13,0.9155492568770668,4086,0.20963710064109667,0.019228413962033068,0.0648854961832061,0.016168395363026236,0.011035653650254669,0.9112457401684549,0.2352589045196049
25,301,34,187,10,0.974418955629339,1605,0.20528096493364212,0.01837109614206981,0.12595419847328243,0.01901565995525727,0.008488964346349746,0.9731153738276652,0.08674049685722837
