stem,dom_nodes,nesting_depth,layout_element_count,img_count,structural_ratio,img_height,score,tier,dom_nodes_norm,nesting_depth_norm,layout_element_count_norm,img_count_norm,structural_ratio_norm,img_height_norm
21,148,21,54,5,0.0484880017790682,995,0.024216305662510512,low,0.009001837109614207,0.07633587786259542,0.005491153142159854,0.004244482173174873,0.0,0.05022448368751871
116,14,5,4,0,0.3725656223539373,995,0.06788112513234555,low,0.0007960808328230251,0.015267175572519083,0.0004067520846044336,0.0,0.3405922586166081,0.05022448368751871
59,15,2,0,1,0.6788990825688073,156,0.11134319036387998,low,0.0008573178199632578,0.003816793893129771,0.0,0.0008488964346349745,0.6625361340355519,0.0
68,133,8,32,2,0.6508264462809917,1895,0.12948102749384505,low,0.008083282302510717,0.026717557251908396,0.003254016676835469,0.001697792869269949,0.6330329471705374,0.10410056869200839
18,33,6,19,2,0.7261724659606656,995,0.13118606981812148,low,0.0019595835884874463,0.019083969465648856,0.0019320724018710596,0.001697792869269949,0.7122185168959327,0.05022448368751871
20,22,4,8,0,0.7423481041571494,995,0.13216546567283152,low,0.0012859767299448867,0.011450381679389313,0.0008135041692088672,0.0,0.7292184477709273,0.05022448368751871
16,93,8,38,4,0.6580170991450427,2041,0.1321735975515684,low,0.005633802816901409,0.026717557251908396,0.003864144803742119,0.003395585738539898,0.6405900277722486,0.11284046692607004
112,24,6,13,0,0.7473200612557427,995,0.13441376974181016,low,0.0014084507042253522,0.019083969465648856,0.0013219442749644091,0.0,0.7344437703185036,0.05022448368751871
75,31,7,22,1,0.7258469259723965,1677,0.138458479546585,low,0.001837109614206981,0.022900763358778626,0.0022371364653243847,0.0008488964346349745,0.7118763877489774,0.09105058365758754
106,32,6,12,0,0.77325208466966,1021,0.13928012288012523,low,0.0018983466013472138,0.019083969465648856,0.0012202562538133007,0.0,0.7616972610389603,0.051780903920981745
90,157,7,33,0,0.7691806836679327,995,0.1405753846119446,low,0.009552969993876302,0.022900763358778626,0.003355704697986577,0.0,0.7574183859335073,0.05022448368751871
47,368,8,34,1,0.7613823900592176,995,0.14215750070979358,low,0.0224739742804654,0.026717557251908396,0.0034573927191376857,0.0008488964346349745,0.7492226998850963,0.05022448368751871
8,140,9,68,15,0.7287488870988257,1656,0.1439023714893259,low,0.008511941212492345,0.030534351145038167,0.006914785438275371,0.012733446519524618,0.714926229613142,0.08979347500748279
43,24,7,17,0,0.8083394294074616,995,0.1458058353780772,low,0.0014084507042253522,0.022900763358778626,0.0017286963595688429,0.0,0.7985726181583717,0.05022448368751871
35,108,21,27,2,0.6457990115321253,2866,0.14621796716666088,low,0.006552357624004899,0.07633587786259542,0.002745576571079927,0.001697792869269949,0.6277493198928294,0.16222687818018558
11,16,5,9,1,0.8276299112801013,995,0.14783673739988148,low,0.0009185548071034905,0.015267175572519083,0.0009151921903599756,0.0008488964346349745,0.8188461217071527,0.05022448368751871
87,111,10,43,3,0.7096632503660323,2739,0.14958314361440714,low,0.006736068585425597,0.03435114503816794,0.004372584909497661,0.0025466893039049238,0.6948680098865613,0.15462436396288537
17,213,13,90,13,0.6873011481532716,2734,0.15077712592303666,low,0.012982241273729333,0.04580152671755725,0.009151921903599756,0.011035653650254669,0.6713663596135518,0.1543250523795271
5,156,8,84,5,0.630375868976081,4600,0.15442732208389195,low,0.009491733006736069,0.026717557251908396,0.008541793776693106,0.004244482173174873,0.6115402310060036,0.2660281352888357
2,146,36,37,1,0.7619334135579623,995,0.15785079820551698,low,0.008879363135333742,0.13358778625954199,0.0037624567825910106,0.0008488964346349745,0.7498018029334813,0.05022448368751871
95,32,5,10,2,0.9042145593869731,995,0.16157301965669707,low,0.0018983466013472138,0.015267175572519083,0.001016880211511084,0.001697792869269949,0.8993334389980163,0.05022448368751871
67,30,7,18,1,0.9031055900621118,995,0.16262472638473777,low,0.0017758726270667483,0.022900763358778626,0.0018303843807199512,0.0008488964346349745,0.8981679578197076,0.05022448368751871
88,90,18,45,7,0.8160995850622407,1680,0.16313536957088662,low,0.00545009185548071,0.0648854961832061,0.004575960951799878,0.005942275042444821,0.8067282227847857,0.09123017060760251
40,114,11,54,1,0.8921729611384783,995,0.164721744321466,low,0.006919779546846295,0.03816793893129771,0.005491153142159854,0.0008488964346349745,0.8866782141863383,0.05022448368751871
102,266,16,132,3,0.7745505992010653,2501,0.16548138285307243,low,0.016227801592161667,0.05725190839694656,0.013422818791946308,0.0025466893039049238,0.7630619464384436,0.14037713259503143
