stem,tier,score,dom_nodes,nesting_depth,layout_element_count,img_count,structural_ratio,img_height
21,low,0.024216305662510512,148,21,54,5,0.0484880017790682,995
116,low,0.06788112513234555,14,5,4,0,0.3725656223539373,995
59,low,0.11134319036387998,15,2,0,1,0.6788990825688073,156
68,low,0.12948102749384505,133,8,32,2,0.6508264462809917,1895
18,low,0.13118606981812148,33,6,19,2,0.7261724659606656,995
20,low,0.13216546567283152,22,4,8,0,0.7423481041571494,995
16,low,0.1321735975515684,93,8,38,4,0.6580170991450427,2041
112,low,0.13441376974181016,24,6,13,0,0.7473200612557427,995
75,low,0.138458479546585,31,7,22,1,0.7258469259723965,1677
106,low,0.13928012288012523,32,6,12,0,0.77325208466966,1021
90,low,0.1405753846119446,157,7,33,0,0.7691806836679327,995
47,low,0.14215750070979358,368,8,34,1,0.7613823900592176,995
8,low,0.1439023714893259,140,9,68,15,0.7287488870988257,1656
43,low,0.1458058353780772,24,7,17,0,0.8083394294074616,995
35,low,0.14621796716666088,108,21,27,2,0.6457990115321253,2866
11,low,0.14783673739988148,16,5,9,1,0.8276299112801013,995
87,low,0.14958314361440714,111,10,43,3,0.7096632503660323,2739
17,low,0.15077712592303666,213,13,90,13,0.6873011481532716,2734
5,low,0.15442732208389195,156,8,84,5,0.630375868976081,4600
2,low,0.15785079820551698,146,36,37,1,0.7619334135579623,995
95,low,0.16157301965669707,32,5,10,2,0.9042145593869731,995
67,low,0.16262472638473777,30,7,18,1,0.9031055900621118,995
88,low,0.16313536957088662,90,18,45,7,0.8160995850622407,1680
40,low,0.164721744321466,114,11,54,1,0.8921729611384783,995
102,low,0.16548138285307243,266,16,132,3,0.7745505992010653,2501
69,low,0.1665273500119916,119,11,46,2,0.8213304470901673,2414
60,low,0.16931341769443412,143,10,79,12,0.8724000000000001,1638
203,low,0.17104826454502386,434,12,77,2,0.8567866408079994,1806
83,low,0.17205014080177047,81,8,46,8,0.9419492277649565,995
15,low,0.1750374139479198,1,1,0,0,1.0,995
104,low,0.17668685178582685,213,11,89,14,0.8296986518636003,2946
12,low,0.18173430291543588,106,17,64,7,0.9316872427983539,1530
44,low,0.1864850821257675,160,18,83,5,0.9748204049053044,1126
1,low,0.19262259407552126,330,16,194,21,0.7786129627003262,4724
99,low,0.19655674982366408,340,9,176,31,0.8676510187595369,3880
138,low,0.20269399620316705,531,18,250,8,0.8820828606924863,3673
201,low,0.20741491133499323,949,22,518,28,0.9806045256106909,995
100,medium,0.2074492956645614,385,12,114,0,0.9627379926931416,3610
133,medium,0.2086436825039908,858,12,440,7,0.7147815473806663,6946
146,medium,0.2101234740615003,631,17,322,43,0.8623454609678559,4107
182,medium,0.2118394594751619,456,56,166,2,0.9661716318363717,995
162,medium,0.21382819515115234,1,1,0,0,1.0,4883
92,medium,0.2158756925794181,426,13,227,50,0.9256505576208178,4099
209,medium,0.21616543553518833,560,13,197,13,0.9508048143851509,4125
80,medium,0.2175340863735692,245,16,87,21,0.9806257968017507,3943
34,medium,0.21942024965850723,386,14,196,3,0.9435124354763023,4837
28,medium,0.2200134068642063,287,29,153,9,0.9187515689063677,4464
110,medium,0.2217485543583578,259,24,170,25,0.9678840839495108,3867
211,medium,0.2238547180363418,510,20,301,27,0.8908451558142355,5178
200,medium,0.22610945142816233,686,13,205,26,0.9713590162399476,4434
7,medium,0.22675633472919823,395,15,228,19,0.9174863012128298,5675
234,medium,0.22702320224916953,579,22,299,8,0.927715545841302,4923
202,medium,0.22973955391310616,965,29,370,38,0.7707942174436521,6563
223,medium,0.23117225166809294,780,25,389,47,0.9625766113220925,3624
156,medium,0.23314473938297278,418,24,263,8,0.9782327109594667,4748
142,medium,0.23409800004491865,753,15,277,25,0.9766283077116038,4838
210,medium,0.235822526104583,653,15,270,44,0.9419740777667,5464
226,medium,0.2371631972841067,815,16,336,49,0.9650927500326991,4780
